Time,Interior Temp,Exterior Temp,Relative Humidity,Air Pressure,Acceleration (X),Acceleration (Z)
122,36.13,36.13,37.57,12.26,1.028,0.347
123,35.26,36.13,37.1,12.26,1.028,0.347
124,37.01,36.13,37.57,12.24,1.013,0.347
125,36.13,36.13,37.1,12.26,1.013,0.347
126,36.13,36.13,37.73,12.26,1.013,0.362
127,36.13,36.13,37.42,12.26,1.028,0.347
128,35.26,36.13,37.73,12.26,1.028,0.347
129,37.01,36.13,37.42,12.26,1.013,0.347
130,37.01,36.13,37.26,12.26,1.028,0.347
131,37.01,36.13,37.26,12.26,0.998,0.347
132,36.13,36.13,37.73,12.24,1.028,0.362
133,36.13,36.13,37.42,12.26,1.028,0.347
134,36.13,36.13,37.42,12.26,1.013,0.347
135,36.13,36.13,37.57,12.24,0.998,0.332
136,37.01,35.26,37.26,12.26,1.013,0.332
137,36.13,36.13,37.26,12.26,1.028,0.347
138,36.13,36.13,37.73,12.26,1.013,0.347
139,35.26,36.13,37.89,12.26,1.028,0.347
140,37.01,36.13,37.26,12.26,1.013,0.347
141,36.13,35.26,37.73,12.26,1.013,0.347
142,36.13,36.13,37.26,12.26,1.013,0.347
143,37.01,36.13,37.57,12.26,1.028,0.362
144,36.13,36.13,37.26,12.26,1.013,0.347
145,36.13,36.13,37.73,12.24,1.013,0.362
146,36.13,36.13,37.73,12.26,1.013,0.347
147,36.13,36.13,37.26,12.26,1.028,0.347
148,36.13,36.13,37.26,12.26,1.028,0.347
149,36.13,36.13,37.26,12.26,1.013,0.347
150,35.26,36.13,37.73,12.26,1.028,0.347
151,36.13,36.13,37.57,12.26,1.013,0.362
152,36.13,36.13,37.42,12.26,1.013,0.347
153,35.26,36.13,37.26,12.26,1.028,0.362
154,36.13,36.13,37.73,12.26,1.013,0.347
155,36.13,36.13,37.42,12.26,0.998,0.347
156,36.13,35.26,37.1,12.26,0.998,0.347
157,37.01,36.13,37.26,12.26,1.013,0.347
158,36.13,36.13,37.26,12.26,1.028,0.362
159,36.13,36.13,37.57,12.26,1.013,0.362
160,35.26,35.26,37.42,12.26,1.028,0.347
161,36.13,36.13,37.57,12.26,1.028,0.347
162,37.01,36.13,37.1,12.26,1.013,0.347
163,37.01,36.13,37.26,12.26,1.028,0.362
164,36.13,36.13,37.57,12.26,1.013,0.347
165,37.01,36.13,37.57,12.26,1.013,0.347
166,36.13,35.26,37.26,12.26,1.028,0.362
167,36.13,36.13,37.73,12.26,1.013,0.362
168,36.13,36.13,37.26,12.26,1.013,0.347
169,36.13,36.13,37.1,12.26,0.998,0.347
170,36.13,36.13,37.26,12.26,1.028,0.347
171,36.13,36.13,37.42,12.26,1.013,0.362
172,37.01,36.13,37.73,12.26,1.028,0.362
173,36.13,36.13,36.63,12.26,1.013,0.362
174,36.13,36.13,36.94,12.26,1.013,0.347
175,37.01,36.13,37.26,12.26,0.998,0.332
176,36.13,36.13,37.1,12.26,1.028,0.347
177,37.01,36.13,37.42,12.26,1.013,0.347
178,35.26,36.13,37.42,12.26,1.013,0.362
179,36.13,36.13,37.26,12.26,1.013,0.347
180,37.01,35.26,37.1,12.26,1.013,0.347
181,37.01,36.13,37.42,12.26,1.013,0.347
182,37.01,36.13,37.1,12.26,1.013,0.347
183,36.13,36.13,37.1,12.26,1.028,0.362
184,36.13,36.13,37.42,12.26,1.028,0.347
185,36.13,36.13,36.79,12.26,1.028,0.347
